channel_id,channel_title,niche,description,country,published_at,subscriber_count,total_views,video_count,uploads_playlist_id,data_source,has_ad_keywords,has_affiliate_signals,has_marketplace_links,has_brand_store_links,has_instagram,has_telegram,has_tiktok,has_vk,has_twitter_x,has_facebook,has_discord,has_external_links,external_links_count,ecosystem_detected,matched_ad_keywords,matched_store_domains,channel_external_links,proportion_videos_with_ad_signals,proportion_videos_with_external_links,parser_data_source
UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,Tech devices and computer peripherals,"Привет, тут у нас просто самый популярный канал в России о технологиях и жизни в ногу со временем. Вливайся!
Сайт о технологиях - https://wylsa.com/
Контактная информация и специальные проекты https://wylsacom.media/

Регистрация в перечне владельцев страниц в соцсетях: https://clck.ru/3FrPQJ

",RU,2011-07-31T17:05:38Z,11500000,3732603938,4400,UUt7sv-NKh44rHAEb-qCCxvA,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,214,True,реклама|промокод|скидка|ad,aliexpress.ru|ozon.ru,https://wylsa.com/|https://wylsacom.media/|https://clck.ru/3FrPQJ,0.44,0.56,API text analysis
UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,Tech devices and computer peripherals,"Такая история
По вопросам сотрудничества: ad@rozetked.me

Второй канал: https://www.youtube.com/rozetkedplus
Реестр РКН: https://clck.ru/3FLd7p
",RU,2011-08-05T09:09:15Z,1950000,786971472,1569,UUDF_NIAEkcAUvzxe1DUzaQA,YouTube Data API v3,True,False,True,True,False,False,False,False,False,False,False,True,92,True,реклама|промокод|партнёрство|акция|ad,ozon.ru,https://www.youtube.com/rozetkedplus|https://clck.ru/3FLd7p,0.28,0.92,API text analysis
UCQXqZtGXzgt1aCATZ2CYCpw,iXBT.com,Tech devices and computer peripherals,"IXBT TV — это официальный канал сайта IXBT.com на Youtube 

Всё о мире информационных технологий — начиная от новостей и видеообзоров по новейшим и интересным мобильным устройствам, акустике, ПК-железу, компьютерным играм и даже электромобилям и заканчивая прямыми эфирами с представителями крупнейших IT-компаний!

Смотрите нас, подписывайтесь, ставьте лайки и делитесь своими впечатлениями! Помните, что ваше мнение — двигатель прогресса :)

Канал зарегистрирован в РКН № 4923220056
https://knd.gov.ru/license?id=6762b7cd40af125d6a4d2f3a&registryType=bloggersPermission

",TR,2012-05-04T08:39:15Z,183000,72816712,3585,UUQXqZtGXzgt1aCATZ2CYCpw,YouTube Data API v3,True,False,True,True,False,False,False,False,False,False,False,True,65,True,реклама|ad,ozon.ru,https://knd.gov.ru/license?id=6762b7cd40af125d6a4d2f3a&registryType=bloggersPermission,0.08,0.2,API text analysis
UCWtrO-0qP45mQ7pzY9jQHTA,Sponsor Block,Tech devices and computer peripherals,Youtube,US,2019-07-12T05:23:02Z,7,7080,4,UUWtrO-0qP45mQ7pzY9jQHTA,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,True,1,False,,,,0.0,0.25,API text analysis
UCA0pst15aj1c4bxpTOGBroA,alexgyver,Tech devices and computer peripherals,,,2007-12-21T19:22:41Z,13,0,0,UUA0pst15aj1c4bxpTOGBroA,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis
UCXNUrJGI6-5hv6xcncrQq8g,Romancev768,Tech devices and computer peripherals,"Фишки о которых ты не знал! Коротко и по делу! Пользуйся!

Подписывайся:
Telegram: t.me/Romancev768
https://www.tiktok.com/@romancev768
https://www.instagram.com/romancev768/

Сотрудничество: ads768@yandex.ru

https://www.gosuslugi.ru/snet/67376783b5d2ec30cf737108
",RU,2020-08-20T11:27:01.268985Z,1670000,2379482230,3261,UUXNUrJGI6-5hv6xcncrQq8g,YouTube Data API v3,True,False,False,False,True,False,True,False,False,False,False,True,20,True,сотрудничество|промокод|скидка|ad,,https://www.tiktok.com/@romancev768|https://www.instagram.com/romancev768/|https://www.gosuslugi.ru/snet/67376783b5d2ec30cf737108,0.06,0.14,API text analysis
UCpVxdg8_vOX0k_OloJa3jwQ,techzone,Tech devices and computer peripherals,,,2006-05-07T03:32:23Z,270,0,0,UUpVxdg8_vOX0k_OloJa3jwQ,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis
UCpEFdIYj0PT4izVX1ZhYvxA,Valaybalalay,Tech devices and computer peripherals,"Valaybalalay - канал, на котором я копаюсь в лоре ваших любимых фантастических игр, книг и фильмов! 

Реклама — valaybalalay@topbro.ru
Менеджер по рекламе — https://t.me/Neznanov_Igor
Стать спонсором: https://boosty.to/valaybalalay
Стримы: https://www.twitch.tv/valaybalalaytv
Telegram-канал: https://t.me/valaybalalaytv
vk (паблик): https://vk.com/valaybalalaytv
vk (личная): https://vk.com/valaybalalay

Внесен Роскомнадзором в перечень персональных страниц: https://vk.cc/cGpSDc




",MX,2013-09-06T11:43:08Z,973000,274378142,617,UUpEFdIYj0PT4izVX1ZhYvxA,YouTube Data API v3,True,False,False,False,False,True,False,True,False,False,False,True,224,True,сотрудничество|реклама|промокод|скидка|акция|ad,,https://t.me/Neznanov_Igor|https://boosty.to/valaybalalay|https://www.twitch.tv/valaybalalaytv|https://t.me/valaybalalaytv|https://vk.com/valaybalalaytv|https://vk.com/valaybalalay|https://vk.cc/cGpSDc,0.82,0.82,API text analysis
UCRwwc2PxEnpaQVUQ7sLwIHQ,andronews,Tech devices and computer peripherals,,,2011-07-29T18:00:48Z,0,0,0,UURwwc2PxEnpaQVUQ7sLwIHQ,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis
UCOhYINncI-JdDVyKfUEhoFA,FERUMM,Tech devices and computer peripherals,,,2021-10-28T15:09:59.028338Z,0,0,0,UUOhYINncI-JdDVyKfUEhoFA,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis
UCmbzthMYaX8FAe_cZSrGMrA,MobileReviewcom,Tech devices and computer peripherals,"Сайт mobile-review.com посвящен технологиям, рынку электроники, социальным явлениям связанным с техникой и интернетом. Добро пожаловать в гости! 

https://gosuslugi.ru/snet/67a08c25de97c91600d5ae01 
",US,2009-10-13T00:35:31Z,398000,18663879,950,UUmbzthMYaX8FAe_cZSrGMrA,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,344,True,ad,,https://gosuslugi.ru/snet/67a08c25de97c91600d5ae01,0.02,0.98,API text analysis
UCQ18THOcZ8nIP-A3ZCqqZwA,BIG GEEK,Tech devices and computer peripherals,"С душой и изюминкой рассказываем о гаджетах, аксессуарах и жизни с ними! Никаких занудных часовых обзоров, только максимальная информативность, интересные видео, и контент, достойный вашей подписки.

А+: https://www.gosuslugi.ru/snet/67a4693ca16f1b5542922ba2
Зарегистрированы в реестре РКН

Подпишись на канал — получи скидку в нашем магазине, biggeek.ru! 

•̪●Есть вопросы? Звони, поможем! 
☎ Москва и доставка по РФ: +7 (499) 495-41-30

► Наш сайт: https://biggeek.ru/
☎ Есть вопросы? Звоните, поможем! +7 (499) 495-41-30
► Наш блог: https://mews.biggeek.ru
► Биг Гик в Telegram: https://t.me/biggeekru
► Биг Гик в Instagram*: http://instagram.com/biggeekru
► Биг Гик в Twitter: https://twitter.com/biggeekru
► Биг Гик в «Вконтакте»: http://vk.com/biggeekru
► Биг Гик в Facebook*: http://facebook.com/biggeekru

*Instagram и Facebook принадлежат компании Meta, признанной экстремистской в РФ

По вопросам рекламы: ad@biggeek.ru",RU,2011-01-24T01:01:41Z,1430000,176423158,1764,UUQ18THOcZ8nIP-A3ZCqqZwA,YouTube Data API v3,True,False,False,False,True,True,False,True,True,True,False,True,111,True,реклама|промокод|ad,,https://www.gosuslugi.ru/snet/67a4693ca16f1b5542922ba2|https://biggeek.ru/|https://mews.biggeek.ru|https://t.me/biggeekru|http://instagram.com/biggeekru|https://twitter.com/biggeekru|http://vk.com/biggeekru|http://facebook.com/biggeekru,0.2,0.2,API text analysis
UC9GeLpqZYdXacKvtpccS4hw,Rozetked Live,Tech devices and computer peripherals,,,2025-05-21T08:35:34.436296Z,0,0,0,UU9GeLpqZYdXacKvtpccS4hw,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis
UCnhtNyHVK3vohIW4x1GnOAg,Quke.ru,Tech devices and computer peripherals,"Обзоры новых смартфонов, сравнения, развернутые мнения и опыт использования.
Мы стремимся снимать интересные и честные обзоры каждого телефона, сделать его понятным для любого нашего зрителя.

Любые идеи по форматам видео и критика принимается в комментариях.

№ 5641616618
",RU,2009-05-16T15:54:48Z,327000,136416955,2634,UUnhtNyHVK3vohIW4x1GnOAg,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,346,True,referral|ad,ozon.ru|wildberries.ru,,0.82,0.96,API text analysis
UCgkaE_eh-REB8jXxewzoXbg,SMART ОБЗОР,Tech devices and computer peripherals,"Подробные обзоры на новинки мобильной индустрии и новости IT. С нами интересно!) 
По вопросам сотрудничества: smartobzorchannel@gmail.com

 SMART ОБЗОР на других площадках:
⚠️TG: https://t.me/smartobzorchannel
⚠️VK: https://vk.com/sobzor
⚠️RUTUBE: https://rutube.ru/channel/24688550/


Реестр РКН: https://clck.ru/3GgUFZ

",RU,2016-11-12T14:38:50Z,140000,45477211,596,UUgkaE_eh-REB8jXxewzoXbg,YouTube Data API v3,True,True,True,True,False,True,False,True,False,False,False,True,219,True,реклама|скидка|ad,aliexpress.ru|ozon.ru,https://t.me/smartobzorchannel|https://vk.com/sobzor|https://rutube.ru/channel/24688550/|https://clck.ru/3GgUFZ,0.5,1.0,API text analysis
UCF42abSQuakkeijvlT_qGtQ,#ЧУДОТЕХНИКИ с Георгием Беловым,Tech devices and computer peripherals,"Контакты

По поводу рекламы и приглашений на мероприятия:
Даша Богачкина
e-mail: dbog@yandex.ru
ТГ: @DashaBog

По общим вопросам:
Георгий Белов
e-mail: nomadic111@yandex.ru 
ТГ: @Chudotech1
https://vk.com/belov_gera

Привет! Меня зовут Георгий Белов, я журналист и телеведущий. Это мой личный видеоблог, в котором я планирую рассказывать интересные вещи из мира техники, которым не нашлось места в программах или статьях. Хот-роды, кастом-байки, квадроциклы, военные машины и гоночные, а так же многое другое.

По вопросам рекламы обращайтесь по почте: nomadic111@yandex.ru
телеграм: https://t.me/drink_fuck_ride
или пишите вконтакте: https://vk.com/belov_gera
моё сообщество вконтакте: https://vk.com/chydotech
яндекс.дзен: zen.yandex.ru/chudotechniki
",,2012-04-05T14:25:38Z,234000,84781517,894,UUF42abSQuakkeijvlT_qGtQ,YouTube Data API v3,True,False,False,False,False,True,False,True,False,False,False,True,140,True,реклама|промокод|скидка|акция|ad,,https://vk.com/belov_gera|https://t.me/drink_fuck_ride|https://vk.com/belov_gera|https://vk.com/chydotech,0.36,0.5,API text analysis
UCArZrYY9BNMhXazeDVhhC7Q,H37Z3US,Tech devices and computer peripherals,,,2008-01-22T21:20:09Z,99,92906,7,UUArZrYY9BNMhXazeDVhhC7Q,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,2,True,ad,,,0.1111,0.2222,API text analysis
UCXxQ1IaZxDIerWTGKOYj3jA,Хауди Хо,Tech devices and computer peripherals,,,2020-06-02T15:09:14.55672Z,0,0,0,UUXxQ1IaZxDIerWTGKOYj3jA,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis
UCMcC_43zGHttf9bY-xJOTwA,egoroff_channel,Tech devices and computer peripherals,"Приветствую, меня зовут Егоров Артем.  Мой канал будет вам полезен, если вы хотите научиться программировать на Python

Часть видео на канале доступно только по спонсорской подписке. 
Подписку жители РФ могут оформить на youtube (150р/месяц)
https://www.youtube.com/channel/UCMcC_43zGHttf9bY-xJOTwA/join

Для других регионов кнопка ""Спонсировать"" не доступна. Поэтому вы можете оформить подписку на:
1) boosty за 250р в месяц 
https://boosty.to/egoroff_channel
2) patreon за 4$ в месяц
https://www.patreon.com/artem_egorov
Деньги на patreon списываются в момент оформления подписки и затем каждое первое число число 

Для практики я создал два курса на Stepic, там вы найдете массу практических задач в каждой теме
https://stepik.org/course/63085/promo - основы python
https://stepik.org/course/72969/promo - курс по ООП

Сайт http://egoroffartem.pythonanywhere.com/
Группа vk https://vk.com/python.study

Донат
Яндекс Деньги 410017907063167

c6d02562-146f-4d55-8a7c-e0aef6df6492
",RU,2015-03-02T20:59:14Z,141000,17984525,605,UUMcC_43zGHttf9bY-xJOTwA,YouTube Data API v3,True,False,False,False,False,False,False,True,False,False,False,True,325,True,промокод|скидка|ad,,https://www.youtube.com/channel/UCMcC_43zGHttf9bY-xJOTwA/join|https://boosty.to/egoroff_channel|https://www.patreon.com/artem_egorov|https://stepik.org/course/63085/promo|https://stepik.org/course/72969/promo|http://egoroffartem.pythonanywhere.com/|https://vk.com/python.study,0.08,0.82,API text analysis
UCIIt69f5D44s2cdb9vXQNzA,loftblog,Tech devices and computer peripherals,"LoftBlog — это лучшее место для изучения it-технологий. Десятки практических уроков и курсов, где мы просто и весело будем учить вас только самому нужному и интересному, а именно, всему, что необходимо для создания горячего web-сервиса или сайта. 

Доступное высококачественное круглосуточное образование в любое удобное время и в любом удобном вам темпе — вот, что мы хотим дать всем тем, кто хочет достичь своей мечты и изменить мир.

LoftBlog – это находка для человека изучающего технологии. Не забудьте подписаться и поделиться с друзьями!

По вопросам обучения в loftschool.com обращайтесь на почту: info@loftschool.com
",RU,2013-03-20T19:40:05Z,373000,38855319,1732,UUIIt69f5D44s2cdb9vXQNzA,YouTube Data API v3,True,False,False,False,False,False,False,False,False,False,False,True,87,True,промокод|скидка|ad,,,0.52,0.88,API text analysis
