channel_id,channel_title,niche,country,published_at,subscriber_count,total_views,video_count,data_source,has_ad_keywords,has_affiliate_signals,has_marketplace_links,has_brand_store_links,has_instagram,has_telegram,has_tiktok,has_vk,has_twitter_x,has_facebook,has_discord,has_external_links,external_links_count,ecosystem_detected,matched_ad_keywords,matched_store_domains,channel_external_links,proportion_videos_with_ad_signals,proportion_videos_with_external_links,parser_data_source,avg_views_last_50,avg_likes_last_50,avg_comments_last_50,engagement_rate_estimate,upload_frequency_estimate,videos_analysed
UCt7sv-NKh44rHAEb-qCCxvA,Wylsacom,Tech devices and computer peripherals,RU,2011-07-31T17:05:38Z,11500000,3732603938,4400,YouTube Data API v3,True,True,True,True,False,False,False,False,False,False,False,True,214,True,реклама|промокод|скидка|ad,aliexpress.ru|ozon.ru,https://wylsa.com/|https://wylsacom.media/|https://clck.ru/3FrPQJ,0.44,0.56,API text analysis,307252.12,5903.62,1281.5,0.024375,7.0 videos/week,50
UCDF_NIAEkcAUvzxe1DUzaQA,Rozetked,Tech devices and computer peripherals,RU,2011-08-05T09:09:15Z,1950000,786971472,1569,YouTube Data API v3,True,False,True,True,False,False,False,False,False,False,False,True,92,True,реклама|промокод|партнёрство|акция|ad,ozon.ru,https://www.youtube.com/rozetkedplus|https://clck.ru/3FLd7p,0.28,0.92,API text analysis,557840.76,10924.14,1427.98,0.020586,2.0 videos/week,50
UCQXqZtGXzgt1aCATZ2CYCpw,iXBT.com,Tech devices and computer peripherals,TR,2012-05-04T08:39:15Z,183000,72816712,3585,YouTube Data API v3,True,False,True,True,False,False,False,False,False,False,False,True,65,True,реклама|ad,ozon.ru,https://knd.gov.ru/license?id=6762b7cd40af125d6a4d2f3a&registryType=bloggersPermission,0.08,0.2,API text analysis,8021.1,56.94,3.14,0.01052,15.2 videos/week,50
UCWtrO-0qP45mQ7pzY9jQHTA,Sponsor Block,Tech devices and computer peripherals,US,2019-07-12T05:23:02Z,7,7080,4,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,True,1,False,,,,0.0,0.25,API text analysis,1770.5,22.0,1.0,0.012735,0.1 videos/week,4
UCA0pst15aj1c4bxpTOGBroA,alexgyver,Tech devices and computer peripherals,,2007-12-21T19:22:41Z,13,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCXNUrJGI6-5hv6xcncrQq8g,Romancev768,Tech devices and computer peripherals,RU,2020-08-20T11:27:01.268985Z,1670000,2379482230,3261,YouTube Data API v3,True,False,False,False,True,False,True,False,False,False,False,True,20,True,сотрудничество|промокод|скидка|ad,,https://www.tiktok.com/@romancev768|https://www.instagram.com/romancev768/|https://www.gosuslugi.ru/snet/67376783b5d2ec30cf737108,0.06,0.14,API text analysis,291460.82,6093.58,226.58,0.02923,11.7 videos/week,50
UCpVxdg8_vOX0k_OloJa3jwQ,techzone,Tech devices and computer peripherals,,2006-05-07T03:32:23Z,270,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCpEFdIYj0PT4izVX1ZhYvxA,Valaybalalay,Tech devices and computer peripherals,MX,2013-09-06T11:43:08Z,973000,274378142,617,YouTube Data API v3,True,False,False,False,False,True,False,True,False,False,False,True,224,True,сотрудничество|реклама|промокод|скидка|акция|ad,,https://t.me/Neznanov_Igor|https://boosty.to/valaybalalay|https://www.twitch.tv/valaybalalaytv|https://t.me/valaybalalaytv|https://vk.com/valaybalalaytv|https://vk.com/valaybalalay|https://vk.cc/cGpSDc,0.82,0.82,API text analysis,137541.42,4519.58,222.66,0.041519,0.8 videos/week,50
UCRwwc2PxEnpaQVUQ7sLwIHQ,andronews,Tech devices and computer peripherals,,2011-07-29T18:00:48Z,0,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
UCOhYINncI-JdDVyKfUEhoFA,FERUMM,Tech devices and computer peripherals,,2021-10-28T15:09:59.028338Z,0,0,0,YouTube Data API v3,False,False,False,False,False,False,False,False,False,False,False,False,0,False,,,,0.0,0.0,API text analysis,0.0,0.0,0.0,0.0,no videos,0
