"channel_id","channel_title","country","channel_created_at","subscriber_count","total_views","video_count","channel_external_links_count","ecosystem_score","has_ad_keywords","has_affiliate_signals","has_marketplace_links","has_brand_store_links","has_instagram","has_telegram","has_tiktok","has_vk","has_twitter_x","has_facebook","has_discord","has_external_links","ecosystem_detected","videos_in_dataset","dataset_views","avg_views_per_video","median_views_per_video","max_views","min_views","avg_like_rate","avg_comment_rate","avg_engagement_rate","avg_duration_seconds","shorts_count","longform_count","shorts_share","ad_video_share","linked_video_share","avg_external_links_per_video","first_video_in_dataset","latest_video_in_dataset","videos_per_day_in_dataset","avg_views_per_video_per_subscriber"
"UC2D9iDnY_ZD7sozyhN-Bq4A","Remonter","RU","2010-03-28 23:56:36+06","1070000","361320906",1152,573,0,True,True,True,True,False,False,False,False,False,False,False,True,True,"50","3414829","68296.58","58058.5","277676","15122","0.0572","0.0039","0.0611","481.72","6","44","0.1200","0.2200","1.0000","11.42","2025-02-23 08:58:10+05","2026-03-18 07:00:16+05","0.1292","0.0638"
"UC2Ev-rDSHBov0ZMChesLfrg","ITDoctor","RU","2017-09-01 21:26:41+06","74300","10062434",1179,480,0,True,False,False,False,False,False,False,False,False,False,False,True,True,"50","20444","408.88","308.5","1267","116","0.0580","0.0122","0.0702","416.00","0","50","0.0000","0.0600","1.0000","9.60","2025-08-16 14:00:39+05","2026-03-17 14:01:36+05","0.2347","0.0055"
"UC7hhJzOlrPOdM2jmrmD59XA","Gadget Page","FR","2016-05-17 20:06:46+06","115000","35474137",666,374,0,True,True,True,True,False,False,False,False,False,False,False,True,True,"50","4254812","85096.24","3966.5","3732352","406","0.0215","0.0023","0.0239","403.16","0","50","0.0000","0.9600","0.9600","7.48","2022-07-18 05:30:03+06","2025-12-22 05:01:05+05","0.0399","0.7400"
"UCA-JK7chBxEsGHQs3m6UK5A","Device Lab","US","2018-12-15 20:00:22+06","20900","15581160",2043,151,0,True,False,False,False,False,False,False,False,False,False,False,True,True,"50","14896","297.92","129","1169","21","0.0264","0.0086","0.0350","254.30","11","39","0.2200","0.2200","0.7800","3.02","2026-02-22 22:00:36+05","2026-03-18 22:00:11+05","2.1739","0.0143"
"UCDF_NIAEkcAUvzxe1DUzaQA","Rozetked","RU","2011-08-05 15:09:15+06","1950000","786971472",1569,92,0,True,False,True,True,False,False,False,False,False,False,False,True,True,"50","27892038","557840.76","577782","1290049","44556","0.0183","0.0023","0.0206","748.78","3","47","0.0600","0.2800","0.9200","1.80","2025-09-20 04:01:13+05","2026-03-18 13:08:42+05","0.2793","0.2861"
"UCDzGdB9TTgFm8jRXn1tBdoA","Ulbi TV","RU",NULL,"330000","34345719",181,303,1,True,False,False,False,False,True,False,False,False,False,False,True,True,"50","10237090","204741.80","103528","1357694","15521","0.0423","0.0053","0.0477","2527.24","0","50","0.0000","0.3200","0.9800","5.92","2022-08-10 12:00:10+06","2026-03-04 13:01:38+05","0.0384","0.6204"
"UCe_vXdMrHHseZ_esYUskSBw","CrazyRussianHacker","US","2012-05-19 01:29:15+06","12000000","3795910170",2954,2,0,True,False,False,False,False,False,False,False,False,False,False,True,True,"50","21308647","426172.94","111528","7683001","27865","0.0198","0.0008","0.0206","110.12","42","8","0.8400","0.5000","0.0400","0.04","2026-02-02 20:10:53+05","2026-03-17 17:20:11+05","1.1905","0.0355"
"UCF42abSQuakkeijvlT_qGtQ","#ЧУДОТЕХНИКИ с Георгием Беловым","unknown","2012-04-05 20:25:38+06","234000","84781517",894,140,2,True,False,False,False,False,True,False,True,False,False,False,True,True,"50","776902","15538.04","9362","81870","2333","0.0398","0.0063","0.0461","671.56","25","25","0.5000","0.3600","0.5000","2.72","2025-10-23 08:00:16+05","2026-03-18 05:00:14+05","0.3448","0.0664"
"UCgkaE_eh-REB8jXxewzoXbg","SMART ОБЗОР","RU","2016-11-12 20:38:50+06","140000","45477211",596,219,2,True,True,True,True,False,True,False,True,False,False,False,True,True,"50","1747935","34958.70","23859","168971","735","0.0236","0.0083","0.0319","530.48","3","47","0.0600","0.5000","1.0000","4.30","2025-09-07 16:00:01+05","2026-03-18 10:12:33+05","0.2618","0.2497"
"UCHFNDph3zTYh8-hwofOVXsg","stupidmadworld","KZ","2013-10-21 23:45:15+06","846000","221359911",1454,314,0,True,False,False,False,False,False,False,False,False,False,False,True,True,"50","7577554","151551.08","104718","798390","17891","0.0438","0.0054","0.0492","522.16","18","32","0.3600","0.7600","0.7800","6.28","2025-11-19 09:09:02+05","2026-03-17 15:48:26+05","0.4237","0.1791"
