"video_id","channel_id","channel_title","country","video_url","title","published_at","duration","duration_seconds","view_count","like_count","comment_count","has_ad_keywords","has_external_links","external_links_count","is_short","subscriber_count","total_views","channel_video_count","ecosystem_score","publish_year","publish_month","publish_day","publish_dow","publish_hour","publish_week","publish_month_start","duration_bucket","views_per_subscriber_count","like_rate","comment_rate","engagement_rate","comments_per_like","monetization_type","videos_age_days"
"ZUU3OIfSRNE","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=ZUU3OIfSRNE","Умные шахматы, где фигуры движутся сами! Магия!","2026-03-19 16:20:59+05","15m 9s",909,"13018","1458","104",True,True,8,False,"11500000","3732603938",4400,0,"2026","3","19","4","16","2026-03-16 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0011","0.1120","0.0080","0.1200","0.0713","ad_and_links",27
"pZSK9k7RdpA","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=pZSK9k7RdpA","Посылки из Китая: ОЧЕНЬ дорогой регистратор, Mac 1984 и вилочный погрузчик!","2026-03-17 15:20:53+05","21m 16s",1276,"122067","2621","169",True,True,13,False,"11500000","3732603938",4400,0,"2026","3","17","2","15","2026-03-16 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0106","0.0215","0.0014","0.0229","0.0645","ad_and_links",29
"KF73tDDafwk","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=KF73tDDafwk","Посылка от подписчика для Wylsacom и его большого аппарата!","2026-03-17 11:42:15+05","1m 29s",89,"204982","4081","68",False,False,0,False,"11500000","3732603938",4400,0,"2026","3","17","2","11","2026-03-16 00:00:00+05","2026-03-01 00:00:00+05","under_5_min","0.0178","0.0199","0.0003","0.0202","0.0167","organic",29
"Ij5lid7NzXo","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=Ij5lid7NzXo","Когда тест пошёл не по плану!","2026-03-15 09:58:57+05","22s",22,"636113","6446","131",False,False,0,True,"11500000","3732603938",4400,0,"2026","3","15","0","9","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","short","0.0553","0.0101","0.0002","0.0103","0.0203","organic",31
"Wh6Tz00KpbQ","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=Wh6Tz00KpbQ","Новый MacBook Neo vs. игры. Бессмысленно и беспощадно!","2026-03-14 15:14:26+05","13m 17s",797,"241578","5639","482",True,True,9,False,"11500000","3732603938",4400,0,"2026","3","14","6","15","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","5_to_15_min","0.0210","0.0233","0.0020","0.0253","0.0855","ad_and_links",32
"gG6LnPjDrmY","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=gG6LnPjDrmY","Царское стекло от Wylsacom для твоего iPhone. Тест молотком!","2026-03-14 12:21:00+05","11s",11,"878086","5123","199",False,False,0,True,"11500000","3732603938",4400,0,"2026","3","14","6","12","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","short","0.0764","0.0058","0.0002","0.0061","0.0388","organic",32
"9-nLENpBHrY","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=9-nLENpBHrY","ЭКСКЛЮЗИВ: Распаковка первого Яндекс-автомобиля UMO 5!","2026-03-13 16:00:34+05","20m 5s",1205,"237592","7483","1135",False,True,5,False,"11500000","3732603938",4400,0,"2026","3","13","5","16","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0207","0.0315","0.0048","0.0363","0.1517","links_only",33
"jx_FKIAdbqE","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=jx_FKIAdbqE","Вот это MacBook Neo!","2026-03-13 09:59:18+05","1m 37s",97,"256762","2519","123",False,False,0,False,"11500000","3732603938",4400,0,"2026","3","13","5","9","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","under_5_min","0.0223","0.0098","0.0005","0.0103","0.0488","organic",33
"lmOU4A3EmnA","UCSpU8Y1aoqBSAwh8DBpiM9A","Keddr.com","UA","https://www.youtube.com/watch?v=lmOU4A3EmnA","Щось в світі гаджетів пійшло не так. Але Apple рулить! KeddrNews","2026-03-07 07:23:03+05","39m 9s",2349,"26148","1590","157",True,True,11,False,"623000","220777177",4100,0,"2026","3","7","6","7","2026-03-02 00:00:00+05","2026-03-01 00:00:00+05","30m_plus","0.0420","0.0608","0.0060","0.0668","0.0987","ad_and_links",39
"qOBrXqt7GWo","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=qOBrXqt7GWo","iPhone 17e - распаковал розовый и всё понял!","2026-03-12 17:04:22+05","20m 45s",1245,"406847","9135","669",True,True,10,False,"11500000","3732603938",4400,0,"2026","3","12","4","17","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0354","0.0225","0.0016","0.0241","0.0732","ad_and_links",34
"pYvF9sMwd8A","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=pYvF9sMwd8A","РАСПАКОВКА MACBOOK NEO - ВСЕ ЦВЕТА!","2026-03-11 22:49:32+05","16m 58s",1018,"432894","10750","787",True,True,12,False,"11500000","3732603938",4400,0,"2026","3","11","3","22","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0376","0.0248","0.0018","0.0267","0.0732","ad_and_links",35
"wAejY0_4-40","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=wAejY0_4-40","Защитные стекла для iPhone от Wylsacom - царский движ!","2026-03-10 16:46:55+05","21m 1s",1261,"201930","6118","991",True,True,8,False,"11500000","3732603938",4400,0,"2026","3","10","2","16","2026-03-09 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0176","0.0303","0.0049","0.0352","0.1620","ad_and_links",36
"k9UcMthMIDw","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=k9UcMthMIDw","iPhone подорожал на 30% из-за Ирана. Дубай закрыт. Что дальше?","2026-03-06 17:06:39+05","12m 40s",760,"228345","4836","816",True,True,9,False,"11500000","3732603938",4400,0,"2026","3","6","5","17","2026-03-02 00:00:00+05","2026-03-01 00:00:00+05","5_to_15_min","0.0199","0.0212","0.0036","0.0248","0.1687","ad_and_links",40
"FnAhN4iWHBM","UCt7sv-NKh44rHAEb-qCCxvA","Wylsacom","RU","https://www.youtube.com/watch?v=FnAhN4iWHBM","ЭТО 26 ЛАЙФХАКОВ iOS 26 И ТВОЕГО iPHONE","2026-03-05 19:10:04+05","20m 51s",1251,"237834","6461","519",True,True,11,False,"11500000","3732603938",4400,0,"2026","3","5","4","19","2026-03-02 00:00:00+05","2026-03-01 00:00:00+05","15_to_30_min","0.0207","0.0272","0.0022","0.0293","0.0803","ad_and_links",41
